Name,ID
AFSOU  ,19127
AGADIR​,19128
AGALMOUS  ,19129
AGDEZ  ,19130
AGERD​,19131
AGHBALA  ,19132
AGHBALO NISRDAN  ,19133
AGHBALO OKARKAR  ,19134
AGLOU​,19135
AGOUIM  ,19136
AGOURAY  ,19137
AHFIR​,19138
AIN HAROUDA ,19139
AIN AAOUDA​,19140
AIN AATIQ​,19141
AIN AICHA  ,19142
AIN AICHA  ,19143
AIN ARISS  ,19144
AIN BARDA  ,19145
AIN BNI MATHAR​,19146
AIN BOUMASSAY  ,19147
AIN CHEGGAG  ,19148
AIN CHQEF  ,19149
AIN DALIA  ,19150
AIN KICHER  ,19151
AIN LAAH  ,19152
AIN LAHCEN  ,19153
AIN LEGDEH  ,19154
AIN LOUHE  ,19155
AIN MAATOUF  ,19156
AIN MEDIOUNA  ,19157
AIN TAOUJDATE  ,19158
AIN ZOHRA  ,19159
AIT MELLOUL,19775
ait meloul,19774
AIT AMIRA​,19160
AIT ATTAB  ,19161
AIT BAZZA  ,19162
AIT BELKACEM  ,19163
AIT BENHDDOU  ,19164
AIT DAOUD​,19165
AIT IAAZZA​,19166
AIT ISHAK  ,19167
AIT KAMARA  ,19168
AIT MAJDAN  ,19169
AIT MELLOUL​,19170
AIT MHAMED  ,19171
AIT MILK​,19172
AIT OUALLAL  ,19173
AIT OUFELLA ,19174
AIT OUMRIBET​,19175
AIT OURIR  ,19176
AIT SEBAA  ,19177
AIT SEDRAT  ,19178
AJDIR GZENAYA ,19180
AJDIR  ,19179
AKLIM  ,19181
AKNOUL​,19182
ALLAL LBEHRAOUI  ,19185
ALLAL TAZI  ,19186
ALMIS GUIGOU  ,19187
ALMIS MARMOUCHA  ,19188
ALNIF  ,19189
AL AROUI  ,19183
AL HOCEIMA  ,19184
AMERZGANE  ,19190
AMESKROUD​,19191
AMSA  ,19192
AMTAR  ,19193
AMZMIZ  ,19194
ANZA​,19195
ANZI​,19196
AOUFOUS  ,19197
AOULOUZ​,19198
AOURIR​,19199
AQCHOUR  ,19200
AQERMUD​,19201
ARBAA MESTI​,19202
ARBAA SHOUL  ,19203
ARHBALOU AKORARE  ,19204
ASJEN  ,19205
ASNI  ,19206
ASSA​,19207
ASSEBBAB  ,19208
ASSILAH  ,19209
AZARZOU  ,19210
AZEMOUR​,19211
AZILAL  ,19212
AZLA  ,19213
AZROU  ,19214
AZZABA  ,19215
BAB BERED  ,19216
BAB BOUDIR​,19217
BAB MARZOUGA​,19218
BAB OUANDAR  ,19219
BAB TAZA  ,19220
BARAKATE ERRADI​,19221
BELFAA​,19222
BELFAA​,19223
BELYOUNOCH  ,19224
BENI MELLAL,19230
