"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"AFSOU  ","19127","Maroc","L'Oriental (MA)","HUB_NADOR","19127"
"AGADIR​","19128","Maroc","Souss-Massa (MA)","HUB_AGADIR","19128"
"AGALMOUS  ","19129","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19129"
"AGDEZ  ","19130","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19130"
"AGERD​","19131","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19131"
"AGHBALA  ","19132","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19132"
"AGHBALO NISRDAN  ","19133","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19133"
"AGHBALO OKARKAR  ","19134","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19134"
"AGLOU​","19135","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19135"
"AGOUIM  ","19136","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19136"
"AGOURAY  ","19137","Maroc","Dakhla-Oued Ed-Dahab (MA)","HUB_CASABLANCA","19137"
"AHFIR​","19138","Maroc","L'Oriental (MA)","HUB_OUJDA","19138"
"AIN HAROUDA ","19139","Maroc","Casablanca-Settat (MA)","HUB_MOHAMMEDIA","19139"
"AIN AAOUDA​","19140","Maroc","Rabat-Salé-Kénitra (MA)","HUB_TEMARA","19140"
"AIN AATIQ​","19141","Maroc","Rabat-Salé-Kénitra (MA)","HUB_TEMARA","19141"
"AIN AICHA  ","19142","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19142"
"AIN AICHA  ","19143","Maroc","Fès-Meknès (MA)","HUB_FES","19143"
"AIN ARISS  ","19144","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19144"
"AIN BARDA  ","19145","Maroc","Fès-Meknès (MA)","HUB_FES","19145"
"AIN BNI MATHAR​","19146","Maroc","L'Oriental (MA)","HUB_OUJDA","19146"
"AIN BOUMASSAY  ","19147","Maroc","Fès-Meknès (MA)","HUB_FES","19147"
"AIN CHEGGAG  ","19148","Maroc","Fès-Meknès (MA)","HUB_FES","19148"
"AIN CHQEF  ","19149","Maroc","Fès-Meknès (MA)","HUB_FES","19149"
"AIN DALIA  ","19150","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19150"
"AIN KICHER  ","19151","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19151"
"AIN LAAH  ","19152","Maroc","Fès-Meknès (MA)","HUB_FES","19152"
"AIN LAHCEN  ","19153","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19153"
"AIN LEGDEH  ","19154","Maroc","Fès-Meknès (MA)","HUB_FES","19154"
"AIN LOUHE  ","19155","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19155"
"AIN MAATOUF  ","19156","Maroc","Fès-Meknès (MA)","HUB_FES","19156"
"AIN MEDIOUNA  ","19157","Maroc","Fès-Meknès (MA)","HUB_FES","19157"
"AIN TAOUJDATE  ","19158","Maroc","Fès-Meknès (MA)","HUB_FES","19158"
"AIN ZOHRA  ","19159","Maroc","L'Oriental (MA)","HUB_NADOR","19159"
"AIT MELLOUL","19775","Maroc","Drâa-Tafilalet (MA)","HUB_MARRAKECH","19775"
"ait meloul","19774","Maroc","L'Oriental (MA)","HUB_MARRAKECH","19774"
"AIT AMIRA​","19160","Maroc","Souss-Massa (MA)","HUB_AGADIR","19160"
"AIT ATTAB  ","19161","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19161"
"AIT BAZZA  ","19162","Maroc","Fès-Meknès (MA)","HUB_FES","19162"
"AIT BELKACEM  ","19163","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19163"
"AIT BENHDDOU  ","19164","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19164"
"AIT DAOUD​","19165","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19165"
"AIT IAAZZA​","19166","Maroc","Souss-Massa (MA)","HUB_AGADIR","19166"
"AIT ISHAK  ","19167","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19167"
"AIT KAMARA  ","19168","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19168"
"AIT MAJDAN  ","19169","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19169"
"AIT MELLOUL​","19170","Maroc","Souss-Massa (MA)","HUB_AGADIR","19170"
"AIT MHAMED  ","19171","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19171"
"AIT MILK​","19172","Maroc","Souss-Massa (MA)","HUB_DAKHLA","19172"
"AIT OUALLAL  ","19173","Maroc","Fès-Meknès (MA)","HUB_FES","19173"
"AIT OUFELLA ","19174","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19174"
"AIT OUMRIBET​","19175","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19175"
"AIT OURIR  ","19176","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19176"
"AIT SEBAA  ","19177","Maroc","Fès-Meknès (MA)","HUB_FES","19177"
"AIT SEDRAT  ","19178","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19178"
"AJDIR GZENAYA ","19180","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19180"
"AJDIR  ","19179","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19179"
"AKLIM  ","19181","Maroc","L'Oriental (MA)","HUB_NADOR","19181"
"AKNOUL​","19182","Maroc","Fès-Meknès (MA)","HUB_TAZA","19182"
"ALLAL LBEHRAOUI  ","19185","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19185"
"ALLAL TAZI  ","19186","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19186"
"ALMIS GUIGOU  ","19187","Maroc","Fès-Meknès (MA)","HUB_FES","19187"
"ALMIS MARMOUCHA  ","19188","Maroc","Fès-Meknès (MA)","HUB_FES","19188"
"ALNIF  ","19189","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19189"
"AL AROUI  ","19183","Maroc","L'Oriental (MA)","HUB_NADOR","19183"
"AL HOCEIMA  ","19184","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19184"
"AMERZGANE  ","19190","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19190"
"AMESKROUD​","19191","Maroc","Souss-Massa (MA)","HUB_AGADIR","19191"
"AMSA  ","19192","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19192"
"AMTAR  ","19193","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19193"
"AMZMIZ  ","19194","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19194"
"ANZA​","19195","Maroc","Souss-Massa (MA)","HUB_AGADIR","19195"
"ANZI​","19196","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19196"
"AOUFOUS  ","19197","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19197"
